mktcap,debt,sales,income,assets,seo
5397.3,1940.3,16121.5,299.7,5032.7,1
1486.9,2222,5905,342,4821,1
4024.7,3523,6804,259,9495,1
5449.9,4541,5465,449,11296,1
374,345.5,81.7,-21.7,233.1,1
2462.5,82.5,147.7,27.1,658.2,1
1048.3,3.5,4.9,-31.3,157.2,1
528.9,351.8,512.9,32.9,408.4,1
164.9,1.6,5.4,-6.9,37.6,1
694.7,397.7,154.8,35.4,534.8,1
333.8,116.1,233.3,12,251.7,1
312,155.2,45.9,14.4,397.4,1
2545.8,2004.5,2635.2,-432.3,6057,1
215.9,4.7,0.6,-12.6,26,1
473.5,3.4,106.3,18.4,88,1
1567.5,384.8,735.3,66.6,1154,1
741.6,23.3,671.4,11.3,303.7,1
240.4,1.8,22.4,7.2,27.4,1
325.4,7.1,188.9,-5.4,124,1
259.6,121.6,170.1,22.4,1873.8,1
486,74.7,102.5,43,911,1
874.9,207.3,499.4,73.1,3150,1
672.7,0.5,176.7,14.6,108.5,1
991.3,12.5,205.6,19.3,244.6,1
1039.5,1.5,101.7,7.5,74.3,1
306.5,24.5,346.3,24.5,320.5,1
56.3,1.5,245.9,2.1,82.4,1
182.5,6,8.9,0.4,26.2,1
830,310.4,982,39.1,767.9,1
484.8,236.6,231.8,8.3,188.3,1
76.2,1.8,84.9,6.1,44,1
409.7,6.4,25.2,-5,55.2,1
79.3,23.2,156.8,-5.7,127.5,1
501.8,86.3,432.5,9.5,206,1
176,9.5,664.1,7.9,155.1,1
1064.3,15.4,60.7,-32.6,147,1
215.3,68.8,300.2,-7.2,1132.8,1
1886.1,222.5,807.2,61.4,660,1
304.1,231.8,54.5,20.1,449.5,1
1335.6,1338.4,3494.3,74.4,3687.8,1
1571.7,0.7,11.4,-23,78.1,1
108.9,142.5,80.7,5.9,224.1,1
150.5,1.5,139.7,7.1,75.3,1
2390.7,146.8,1047.7,85.7,1276.5,1
165.2,262.5,39.8,8.2,378.5,1
452.4,1.3,8.8,-29.4,44.9,1
136.1,0.1,73.8,2.8,40.2,1
217.7,0.5,1.3,-18,47,1
252.9,1,94.8,3.9,39.4,1
78.1,2.6,0.9,-10.2,17.4,1
88.8,0.2,22.7,2.5,73.1,1
7415.8,554.4,763.3,142.7,1398.1,1
156.4,4.2,19.2,2,48.7,1
1318.8,24,510.6,48.7,1792.2,1
233.2,105.1,84.1,1,354.2,1
389.1,63.4,188.2,17,268,1
3201.6,466.2,317.8,25.1,595,1
312.9,38.3,119.7,4.9,181,1
1080,154.4,234.4,14.2,355.1,1
495,25.9,890,18.4,363.8,1
182.2,134.3,532.4,11.6,305.6,1
835.7,57.7,496.6,18.8,305.7,1
1626,82.7,399.6,24.8,360.8,1
609.4,8,183,10.8,196,1
988.2,335.9,201,24,447.3,1
482.5,2,2.7,-10.2,27.3,1
1111.2,375.4,353.4,12.6,755.6,1
927.6,42.1,336.5,21.6,173.6,1
52.3,0.9,5.1,-6.1,13.3,1
123,123.1,55.9,-16.7,178.7,1
567.8,315.3,133,-3.4,466,1
236.2,0.5,110,-32.7,72.7,1
266.7,26.5,37.4,17.6,225.1,1
763.1,243.2,388.2,38.5,295.8,1
188.3,7.8,328.7,8.9,152.9,1
790.4,344.4,442,26.6,1064.8,1
570.5,2384,565,-82,3557,1
1442.9,354.1,2732.1,101.1,1213.7,1
2418.3,0.4,51.7,-3.8,122.2,1
1072.7,118.5,949.8,78.7,7594.8,1
87.2,9.4,97.5,2.9,42.9,1
466,9.7,41.8,-11.5,100.3,1
608.5,16,350.9,20.3,254,1
308,1.8,104.9,7,40.6,1
953,116.5,3155,35.4,558.8,1
315.7,9.7,132.9,16.1,119.4,1
416,2295,130.6,9.6,137,1
276.7,241.4,157.9,-25.4,230.8,1
221.6,10.1,40.4,1.5,38.7,1
83.1,20.2,38.7,10.6,133.5,1
137.3,57.8,70.2,-8.4,139.5,1
167.7,210,83.1,11.4,277.2,1
277.7,163.7,1082.2,16.1,379.1,1
353.9,70,155.9,27.2,687.5,1
643.3,0.2,0.5,-11.7,11.3,1
171.9,0.5,22.5,2.2,31.5,1
305.6,42.4,21.8,4.9,173.4,1
926.2,7,137.3,23.3,204.6,1
559.2,346.2,87.9,16.7,737.6,1
43,0.1,16,1.9,14.6,1
448.1,79.8,79.5,32.8,842.6,1
968,27.7,641.1,53.3,1130.9,1
712.4,68.7,209.1,17,141.4,1
104.9,0.6,14.9,-1.4,6.8,1
288.3,125.2,128,9.9,216.1,1
323.6,144.9,161.7,1.5,418371,1
161.3,1.6,17.3,2.2,22.8,1
323.9,2,47.1,2.7,43.9,1
51.4,2.4,18.6,1.4,22.4,1
227.8,65.7,576.3,28.2,316.7,1
125.9,2.2,0.9,-5.2,15.5,1
120.6,0.1,32.8,1.3,26.5,1
1415.9,2.8,83.2,-2.1,64.4,1
456.8,0.7,57.1,3.6,108.4,1
324.1,282.8,729.4,17,824.2,1
289.8,0.4,58.5,3.5,23.2,1
759,139.9,21.3,1.7,73.6,1
218.4,1.2,11.8,0.4,11.7,1
100.1,6.9,143.9,7,36,1
77.3,41.2,130.4,4.2,100.3,1
356.4,1.2,1,-10.8,24.1,1
69.9,3.5,8.8,-12.9,29.1,1
139.8,0.8,36.2,5.8,32.8,1
307.2,22.6,41.4,4.6,90.8,1
