age,sex,educ,income91,satjob,life,impjob,hrs1,degree,anomia5,happy
45,Male,14,$75000+,Mod satisfied,Exciting,One of most important,22,High school,Agree,PRETTY HAPPY
46,Male,20,$75000+,Mod satisfied,Exciting,One of most important,50,Graduate,Agree,VERY HAPPY
23,Female,16,$75000+,Mod satisfied,Exciting,One of most important,60,Bachelor,NA,VERY HAPPY
37,Female,16,$75000+,Mod satisfied,Exciting,Somewhat important,10,Bachelor,Disagree,VERY HAPPY
27,Male,13,$50000-59999,Very satisfied,Routine,One of most important,55,High school,Agree,PRETTY HAPPY
23,Female,16,$35000-39999,A little dissatisfied,Exciting,Very important,35,Bachelor,Agree,PRETTY HAPPY
31,Male,16,$35000-39999,Very satisfied,Exciting,One of most important,56,Bachelor,Agree,PRETTY HAPPY
30,Female,14,$50000-59999,Very satisfied,Routine,Not too important,NA,Junior college,Disagree,PRETTY HAPPY
77,Male,16,$50000-59999,NA,Routine,One of most important,NA,Bachelor,Agree,PRETTY HAPPY
41,Male,13,$50000-59999,Very dissatisfied,Exciting,Somewhat important,20,High school,Agree,VERY HAPPY
70,Female,12,$12500-14999,Very satisfied,Exciting,Somewhat important,29,Less than HS,Disagree,VERY HAPPY
81,Male,8,$15000-17499,NA,NA,Very important,NA,Less than HS,NA,PRETTY HAPPY
41,Male,12,$35000-39999,Mod satisfied,NA,Very important,NA,High school,NA,NOT TOO HAPPY
41,Female,12,$8000-9999,Very satisfied,Routine,One of most important,NA,High school,Agree,PRETTY HAPPY
69,Female,12,$1000-2999,NA,NA,Very important,NA,Less than HS,NA,NOT TOO HAPPY
41,Female,12,$5000-5999,Mod satisfied,Routine,One of most important,NA,High school,Agree,NOT TOO HAPPY
32,Female,9,$8000-9999,Very satisfied,Dull,Very important,NA,Less than HS,Agree,PRETTY HAPPY
29,Female,14,$22500-24999,Mod satisfied,NA,Somewhat important,40,Junior college,NA,PRETTY HAPPY
51,Female,13,$17500-19999,Mod satisfied,Exciting,Very important,NA,High school,Agree,NOT TOO HAPPY
35,Male,16,$60000-74999,Very satisfied,NA,Somewhat important,50,Bachelor,NA,PRETTY HAPPY
36,Male,14,$50000-59999,Mod satisfied,Routine,Very important,54,High school,Agree,PRETTY HAPPY
41,Male,12,$35000-39999,Mod satisfied,NA,Somewhat important,32,High school,NA,PRETTY HAPPY
62,Female,18,$17500-19999,Mod satisfied,Routine,Very important,55,Bachelor,Agree,PRETTY HAPPY
44,Male,12,$75000+,Mod satisfied,NA,One of most important,55,High school,NA,PRETTY HAPPY
64,Female,12,$17500-19999,Very satisfied,Exciting,Very important,NA,High school,Disagree,PRETTY HAPPY
49,Male,15,$50000-59999,Mod satisfied,Exciting,Very important,50,High school,Disagree,PRETTY HAPPY
62,Female,12,$35000-39999,Mod satisfied,Routine,Somewhat important,38,High school,Disagree,PRETTY HAPPY
62,Female,18,$60000-74999,NA,NA,Somewhat important,NA,Graduate,NA,VERY HAPPY
49,Female,13,REFUSED,Mod satisfied,Exciting,Very important,20,High school,Agree,PRETTY HAPPY
49,Female,15,$35000-39999,NA,Exciting,Very important,NA,Junior college,Agree,NOT TOO HAPPY
45,Male,18,$75000+,Mod satisfied,NA,Very important,50,Graduate,NA,VERY HAPPY
75,Male,16,$35000-39999,NA,Routine,Very important,NA,Bachelor,Agree,PRETTY HAPPY
75,Male,16,$22500-24999,NA,Routine,Very important,NA,Bachelor,Disagree,VERY HAPPY
18,Male,11,$40000-49999,NA,Exciting,Very important,NA,Less than HS,Agree,PRETTY HAPPY
31,Male,16,$35000-39999,Mod satisfied,Routine,Somewhat important,45,Bachelor,Disagree,PRETTY HAPPY
27,Female,11,$4000-4999,Mod satisfied,Exciting,Very important,NA,Less than HS,Disagree,VERY HAPPY
45,Male,15,$60000-74999,Mod satisfied,Exciting,Somewhat important,50,High school,Disagree,VERY HAPPY
27,Male,16,$35000-39999,Very satisfied,Exciting,One of most important,80,Bachelor,Disagree,PRETTY HAPPY
28,Male,13,$30000-34999,Mod satisfied,NA,One of most important,56,High school,NA,PRETTY HAPPY
52,Male,14,$75000+,Mod satisfied,NA,Very important,NA,High school,NA,PRETTY HAPPY
69,Male,7,$22500-24999,NA,NA,Very important,NA,Less than HS,NA,PRETTY HAPPY
43,Male,12,$60000-74999,Mod satisfied,Routine,Somewhat important,50,High school,Agree,VERY HAPPY
28,Male,16,$50000-59999,Mod satisfied,Routine,Somewhat important,55,Bachelor,Agree,NOT TOO HAPPY
52,Female,14,$40000-49999,Mod satisfied,Dull,Very important,20,Junior college,Agree,PRETTY HAPPY
37,Female,17,$60000-74999,Very satisfied,NA,Very important,24,Bachelor,NA,VERY HAPPY
36,Female,12,REFUSED,Very satisfied,NA,Very important,16,High school,NA,VERY HAPPY
24,Female,12,$35000-39999,Very satisfied,Routine,Very important,55,High school,Agree,PRETTY HAPPY
51,Male,19,$75000+,Very satisfied,Exciting,Very important,40,Graduate,Agree,PRETTY HAPPY
57,Male,17,$75000+,Mod satisfied,Exciting,Very important,60,Bachelor,Disagree,VERY HAPPY
72,Male,16,$75000+,A little dissatisfied,NA,Very important,40,Bachelor,NA,PRETTY HAPPY
45,Female,18,$75000+,Mod satisfied,NA,Somewhat important,36,Graduate,NA,PRETTY HAPPY
32,Male,18,$75000+,Mod satisfied,Exciting,Very important,50,Graduate,Agree,VERY HAPPY
63,Female,9,$6000-6999,Mod satisfied,Exciting,One of most important,NA,High school,Agree,PRETTY HAPPY
50,Male,15,$30000-34999,Very satisfied,NA,Very important,40,Junior college,NA,VERY HAPPY
71,Female,7,$7000-7999,NA,Routine,Very important,NA,Less than HS,Agree,VERY HAPPY
59,Male,16,$10000-12499,Mod satisfied,NA,Somewhat important,NA,High school,NA,PRETTY HAPPY
30,Male,16,$60000-74999,NA,Routine,One of most important,NA,Bachelor,Disagree,NOT TOO HAPPY
37,Female,12,$25000-29999,Mod satisfied,NA,Somewhat important,NA,High school,NA,PRETTY HAPPY
54,Female,8,$8000-9999,Very satisfied,Dull,Somewhat important,9,Less than HS,Disagree,NOT TOO HAPPY
43,Male,6,$40000-49999,A little dissatisfied,Exciting,Very important,50,Less than HS,Agree,VERY HAPPY
NA,Male,18,REFUSED,Very satisfied,Exciting,One of most important,40,Bachelor,Disagree,VERY HAPPY
62,Female,12,$40000-49999,NA,NA,Very important,NA,High school,NA,VERY HAPPY
60,Female,14,$75000+,NA,Exciting,Very important,NA,High school,Disagree,VERY HAPPY
60,Male,13,$75000+,Very satisfied,Exciting,Very important,50,High school,Agree,PRETTY HAPPY
46,Female,16,$75000+,Very satisfied,Exciting,One of most important,80,Bachelor,Agree,VERY HAPPY
30,Female,12,$7000-7999,Mod satisfied,NA,Very important,NA,High school,NA,PRETTY HAPPY
27,Male,15,$50000-59999,Mod satisfied,Routine,Very important,55,High school,Disagree,VERY HAPPY
45,Female,12,$40000-49999,A little dissatisfied,Routine,Somewhat important,40,High school,Agree,PRETTY HAPPY
51,Male,16,NA,Mod satisfied,Routine,Somewhat important,65,Bachelor,Agree,PRETTY HAPPY
38,Male,16,$60000-74999,Very satisfied,Routine,Very important,40,Bachelor,Agree,VERY HAPPY
44,Male,20,$60000-74999,Very satisfied,Exciting,One of most important,55,Graduate,Agree,PRETTY HAPPY
40,Male,18,$60000-74999,Mod satisfied,Routine,Very important,55,Graduate,Agree,PRETTY HAPPY
51,Male,12,$60000-74999,Very satisfied,Exciting,Very important,60,High school,Disagree,VERY HAPPY
40,Female,14,REFUSED,Mod satisfied,NA,Somewhat important,35,High school,NA,PRETTY HAPPY
34,Female,14,$75000+,Very satisfied,NA,Somewhat important,NA,High school,NA,VERY HAPPY
54,Female,12,$10000-12499,Very satisfied,Exciting,Very important,NA,High school,Disagree,PRETTY HAPPY
59,Male,20,$75000+,Very satisfied,Exciting,Very important,67,Graduate,Disagree,VERY HAPPY
36,Male,12,$60000-74999,Very satisfied,Exciting,Very important,75,High school,Disagree,VERY HAPPY
35,Male,14,$60000-74999,Mod satisfied,Exciting,Very important,40,High school,Agree,PRETTY HAPPY
30,Female,14,$60000-74999,Very satisfied,NA,Very important,50,High school,NA,PRETTY HAPPY
34,Female,16,$40000-49999,Very satisfied,Exciting,Somewhat important,NA,Bachelor,Disagree,VERY HAPPY
32,Male,12,NA,Very satisfied,NA,One of most important,60,High school,NA,PRETTY HAPPY
73,Female,12,$5000-5999,NA,Exciting,One of most important,NA,High school,Disagree,VERY HAPPY
66,Male,16,$75000+,NA,NA,Very important,NA,Bachelor,NA,PRETTY HAPPY
33,Female,16,$40000-49999,Mod satisfied,NA,Very important,45,Bachelor,NA,PRETTY HAPPY
38,Female,17,REFUSED,Very satisfied,NA,Somewhat important,18,Bachelor,NA,VERY HAPPY
49,Female,20,NA,Mod satisfied,Exciting,Very important,50,Graduate,Agree,VERY HAPPY
56,Male,18,$75000+,A little dissatisfied,Routine,Very important,40,Graduate,Agree,PRETTY HAPPY
55,Male,20,$75000+,Very satisfied,Routine,Not at all important,40,Graduate,Agree,PRETTY HAPPY
61,Female,20,$50000-59999,A little dissatisfied,NA,Somewhat important,40,Graduate,NA,PRETTY HAPPY
34,Male,16,$8000-9999,Very satisfied,Routine,Very important,51,Bachelor,Disagree,PRETTY HAPPY
43,Female,17,$15000-17499,Very satisfied,Exciting,Very important,16,Bachelor,Agree,PRETTY HAPPY
48,Male,16,$75000+,A little dissatisfied,Routine,One of most important,65,Graduate,Agree,PRETTY HAPPY
43,Female,16,$60000-74999,Very satisfied,Routine,Very important,42,Bachelor,Disagree,VERY HAPPY
65,Male,15,$35000-39999,NA,Routine,One of most important,NA,High school,Agree,VERY HAPPY
35,Male,12,$35000-39999,Very satisfied,Exciting,Very important,NA,Less than HS,Disagree,PRETTY HAPPY
82,Female,15,NA,NA,Routine,NA,NA,High school,Disagree,VERY HAPPY
62,Female,12,NA,Very satisfied,Exciting,Very important,43,High school,Agree,PRETTY HAPPY
59,Female,12,$12500-14999,Very satisfied,Exciting,Very important,30,High school,Agree,VERY HAPPY
38,Male,12,$60000-74999,Very satisfied,Routine,One of most important,40,High school,Disagree,PRETTY HAPPY
43,Female,15,$40000-49999,Mod satisfied,Exciting,One of most important,24,High school,Agree,NOT TOO HAPPY
31,Male,12,$30000-34999,Very satisfied,Routine,Very important,40,High school,Agree,PRETTY HAPPY
30,Female,14,$75000+,Very satisfied,Exciting,Not too important,NA,High school,Agree,VERY HAPPY
40,Male,16,$30000-34999,Mod satisfied,Exciting,Very important,50,Bachelor,Agree,NOT TOO HAPPY
27,Male,17,$30000-34999,A little dissatisfied,Routine,Very important,60,Bachelor,Disagree,PRETTY HAPPY
52,Male,16,$25000-29999,Mod satisfied,Exciting,One of most important,40,Bachelor,Disagree,VERY HAPPY
32,Female,12,$75000+,Mod satisfied,Routine,Very important,40,High school,Agree,PRETTY HAPPY
70,Male,15,$50000-59999,NA,Routine,Somewhat important,NA,High school,Disagree,VERY HAPPY
55,Female,13,$60000-74999,Very satisfied,NA,Somewhat important,40,High school,NA,VERY HAPPY
53,Female,16,$35000-39999,Mod satisfied,Routine,One of most important,40,Bachelor,Agree,VERY HAPPY
35,Female,12,$20000-22499,Very dissatisfied,Exciting,One of most important,NA,High school,Agree,PRETTY HAPPY
NA,Female,20,REFUSED,NA,NA,Very important,NA,Graduate,NA,VERY HAPPY
79,Female,8,$6000-6999,Mod satisfied,Dull,Very important,NA,Less than HS,Agree,NOT TOO HAPPY
72,Female,8,$10000-12499,A little dissatisfied,Dull,Very important,20,Less than HS,Agree,NOT TOO HAPPY
81,Female,6,$5000-5999,NA,Dull,Somewhat important,NA,Less than HS,Disagree,PRETTY HAPPY
76,Female,14,REFUSED,A little dissatisfied,Routine,NA,NA,Less than HS,Agree,PRETTY HAPPY
30,Male,16,$60000-74999,Very satisfied,Exciting,Very important,40,Junior college,Agree,VERY HAPPY
45,Female,12,$35000-39999,Very satisfied,Exciting,Very important,NA,High school,Agree,VERY HAPPY
34,Male,12,$50000-59999,Very satisfied,Exciting,Very important,40,High school,Agree,PRETTY HAPPY
71,Male,12,$30000-34999,NA,NA,Very important,NA,High school,NA,VERY HAPPY
43,Female,16,$40000-49999,Very satisfied,Routine,Very important,38,Bachelor,Disagree,PRETTY HAPPY
37,Male,19,$12500-14999,A little dissatisfied,NA,One of most important,46,Graduate,NA,NOT TOO HAPPY
80,Female,12,$17500-19999,NA,Routine,Somewhat important,NA,High school,Disagree,NOT TOO HAPPY
75,Female,12,$25000-29999,NA,Routine,Very important,NA,High school,Agree,PRETTY HAPPY
67,Male,14,$25000-29999,NA,NA,NA,NA,High school,NA,PRETTY HAPPY
42,Female,12,$40000-49999,Very satisfied,NA,Very important,40,High school,NA,PRETTY HAPPY
76,Female,12,$20000-22499,Very satisfied,NA,Very important,NA,High school,NA,PRETTY HAPPY
67,Female,16,$30000-34999,NA,NA,Very important,NA,Graduate,NA,VERY HAPPY
55,Female,12,$40000-49999,Very satisfied,Exciting,Very important,NA,High school,Agree,PRETTY HAPPY
66,Male,20,$60000-74999,Very satisfied,NA,Very important,50,Graduate,NA,PRETTY HAPPY
69,Male,16,$35000-39999,NA,NA,One of most important,NA,Bachelor,NA,VERY HAPPY
57,Female,14,$40000-49999,Very satisfied,Exciting,Very important,40,Junior college,Disagree,VERY HAPPY
57,Female,18,$75000+,Very satisfied,Exciting,One of most important,40,Graduate,Disagree,VERY HAPPY
85,Female,11,$15000-17499,Very satisfied,Routine,Very important,NA,Less than HS,Agree,PRETTY HAPPY
74,Female,14,$25000-29999,NA,NA,Not at all important,NA,Junior college,NA,VERY HAPPY
36,Male,17,$35000-39999,Very satisfied,Exciting,Very important,40,Bachelor,Agree,PRETTY HAPPY
32,Female,18,$75000+,Mod satisfied,Routine,Very important,NA,Graduate,Disagree,PRETTY HAPPY
30,Female,14,$35000-39999,NA,Exciting,Very important,NA,High school,Agree,VERY HAPPY
59,Female,13,$60000-74999,Very satisfied,Exciting,Somewhat important,32,High school,Agree,PRETTY HAPPY
39,Male,17,$75000+,Very satisfied,Exciting,Very important,60,Bachelor,Agree,VERY HAPPY
49,Female,14,$30000-34999,Very satisfied,Exciting,One of most important,40,High school,Disagree,VERY HAPPY
51,Female,13,$15000-17499,Mod satisfied,NA,Very important,40,High school,NA,VERY HAPPY
73,Female,10,$7000-7999,NA,NA,Not at all important,NA,Less than HS,NA,PRETTY HAPPY
47,Male,6,$8000-9999,NA,Routine,One of most important,NA,Less than HS,NA,PRETTY HAPPY
53,Male,18,$60000-74999,Very satisfied,Exciting,One of most important,50,Graduate,Disagree,PRETTY HAPPY
41,Female,13,$60000-74999,Mod satisfied,Exciting,Somewhat important,40,High school,Agree,VERY HAPPY
38,Male,11,$25000-29999,Very dissatisfied,NA,One of most important,32,Less than HS,NA,PRETTY HAPPY
54,Female,12,$50000-59999,Very satisfied,Exciting,Very important,NA,High school,Disagree,VERY HAPPY
58,Male,17,$60000-74999,Very satisfied,NA,One of most important,15,Graduate,NA,VERY HAPPY
33,Female,15,$12500-14999,Mod satisfied,NA,Not too important,24,High school,NA,PRETTY HAPPY
71,Female,6,$10000-12499,Very satisfied,Routine,Very important,24,Less than HS,Agree,VERY HAPPY
59,Female,12,REFUSED,Mod satisfied,NA,One of most important,40,High school,NA,PRETTY HAPPY
33,Female,14,$75000+,Very dissatisfied,Routine,Very important,40,High school,Disagree,VERY HAPPY
50,Male,12,$60000-74999,Very satisfied,Exciting,One of most important,40,High school,Disagree,PRETTY HAPPY
51,Female,14,$75000+,Mod satisfied,Routine,Somewhat important,40,High school,Agree,PRETTY HAPPY
60,Female,12,$75000+,Mod satisfied,Exciting,Very important,40,High school,Agree,VERY HAPPY
69,Female,12,$15000-17499,NA,Dull,Very important,NA,High school,Disagree,PRETTY HAPPY
41,Female,17,$75000+,Mod satisfied,NA,One of most important,52,Bachelor,NA,NOT TOO HAPPY
57,Male,12,$25000-29999,Very satisfied,Exciting,One of most important,40,High school,Disagree,PRETTY HAPPY
77,Female,10,$40000-49999,Very satisfied,Exciting,Not too important,NA,Less than HS,Agree,PRETTY HAPPY
50,Female,12,REFUSED,Very satisfied,NA,Not too important,35,High school,NA,VERY HAPPY
41,Female,12,NA,NA,Routine,Not too important,NA,High school,Disagree,VERY HAPPY
50,Female,16,REFUSED,Mod satisfied,NA,Somewhat important,15,Bachelor,NA,PRETTY HAPPY
53,Female,13,REFUSED,Very satisfied,NA,Somewhat important,14,High school,NA,VERY HAPPY
34,Male,16,REFUSED,A little dissatisfied,Routine,One of most important,55,Bachelor,Disagree,PRETTY HAPPY
47,Female,12,$60000-74999,Mod satisfied,Exciting,Very important,55,High school,Agree,PRETTY HAPPY
45,Female,14,$40000-49999,Very satisfied,Exciting,Very important,20,Junior college,Agree,PRETTY HAPPY
35,Male,19,$25000-29999,Very satisfied,Exciting,Very important,60,Graduate,Disagree,VERY HAPPY
72,Male,8,REFUSED,NA,Routine,Very important,NA,Less than HS,Agree,PRETTY HAPPY
37,Male,14,$35000-39999,Very satisfied,Exciting,Somewhat important,48,Junior college,Disagree,PRETTY HAPPY
41,Female,17,$35000-39999,Very satisfied,NA,Very important,NA,Bachelor,NA,NOT TOO HAPPY
27,Female,14,$30000-34999,Very satisfied,Routine,Very important,60,High school,Agree,PRETTY HAPPY
27,Female,16,$25000-29999,Mod satisfied,Routine,Very important,40,Bachelor,Agree,VERY HAPPY
50,Male,14,$75000+,Mod satisfied,NA,One of most important,65,Junior college,NA,VERY HAPPY
28,Male,16,$50000-59999,Very dissatisfied,Routine,Very important,40,Bachelor,Disagree,PRETTY HAPPY
31,Male,16,$40000-49999,Very dissatisfied,Routine,One of most important,40,Bachelor,Agree,PRETTY HAPPY
51,Male,12,$25000-29999,Very satisfied,Routine,Very important,46,High school,Agree,NOT TOO HAPPY
25,Female,9,$3000-3999,Very satisfied,NA,One of most important,20,Less than HS,NA,NOT TOO HAPPY
41,Male,11,$20000-22499,Mod satisfied,Routine,One of most important,40,Less than HS,Agree,NOT TOO HAPPY
26,Male,15,$15000-17499,Mod satisfied,NA,One of most important,40,High school,NA,VERY HAPPY
20,Female,12,$35000-39999,A little dissatisfied,NA,Somewhat important,NA,High school,NA,PRETTY HAPPY
21,Female,12,$10000-12499,A little dissatisfied,Dull,One of most important,NA,High school,Agree,PRETTY HAPPY
43,Male,16,$75000+,Mod satisfied,Routine,One of most important,40,Bachelor,Agree,PRETTY HAPPY
44,Male,16,$60000-74999,Very satisfied,Exciting,Very important,40,Bachelor,Agree,VERY HAPPY
43,Female,15,$75000+,Very satisfied,NA,Very important,20,High school,NA,PRETTY HAPPY
39,Male,15,$60000-74999,Very satisfied,Exciting,Somewhat important,50,High school,Disagree,VERY HAPPY
54,Female,16,$50000-59999,Very satisfied,Routine,Very important,40,Bachelor,Agree,PRETTY HAPPY
47,Female,14,$40000-49999,Very satisfied,Routine,Very important,40,High school,Agree,PRETTY HAPPY
77,Female,15,$40000-49999,Very satisfied,Exciting,Very important,NA,High school,Agree,VERY HAPPY
47,Female,18,REFUSED,Very satisfied,Exciting,Very important,40,Graduate,Agree,PRETTY HAPPY
27,Female,9,$8000-9999,Mod satisfied,Exciting,Very important,NA,Less than HS,Agree,VERY HAPPY
39,Male,10,$25000-29999,Very satisfied,Exciting,One of most important,NA,Less than HS,Agree,PRETTY HAPPY
54,Female,12,NA,NA,Routine,Somewhat important,NA,High school,Disagree,PRETTY HAPPY
44,Female,12,$1000-2999,Mod satisfied,Exciting,Very important,NA,High school,Agree,PRETTY HAPPY
27,Female,14,$12500-14999,Very satisfied,NA,Very important,10,High school,NA,PRETTY HAPPY
37,Female,12,$22500-24999,Mod satisfied,Routine,One of most important,40,High school,Agree,PRETTY HAPPY
52,Female,9,$40000-49999,A little dissatisfied,NA,Not too important,59,Less than HS,NA,VERY HAPPY
76,Female,10,$20000-22499,Very satisfied,Exciting,Very important,NA,Less than HS,Disagree,VERY HAPPY
54,Female,12,$20000-22499,Mod satisfied,Exciting,One of most important,40,High school,Disagree,VERY HAPPY
65,Male,13,$22500-24999,Very satisfied,Exciting,Somewhat important,24,High school,Agree,PRETTY HAPPY
