age,sex,educ,income91,satjob,life,impjob,hrs1,degree,anomia5,happy
45,Male,12,$40000-49999,A little dissatisfied,Routine,Very important,44,High school,Disagree,PRETTY HAPPY
65,Female,12,$17500-19999,NA,NA,Very important,NA,High school,NA,PRETTY HAPPY
44,Male,12,$25000-29999,A little dissatisfied,NA,Somewhat important,NA,High school,NA,PRETTY HAPPY
30,Female,12,$25000-29999,Very dissatisfied,Routine,Very important,NA,High school,Agree,PRETTY HAPPY
72,Male,8,$8000-9999,NA,NA,One of most important,NA,Less than HS,NA,PRETTY HAPPY
46,Female,12,$40000-49999,A little dissatisfied,Routine,Somewhat important,50,High school,Agree,PRETTY HAPPY
64,Female,13,$25000-29999,Very satisfied,NA,Very important,30,High school,NA,PRETTY HAPPY
75,Male,12,$12500-14999,NA,NA,One of most important,NA,High school,NA,VERY HAPPY
71,Male,16,$8000-9999,NA,NA,Somewhat important,NA,Bachelor,NA,NOT TOO HAPPY
41,Female,20,$60000-74999,A little dissatisfied,NA,Very important,60,Graduate,NA,PRETTY HAPPY
69,Female,12,NA,NA,Routine,Very important,NA,High school,Disagree,PRETTY HAPPY
37,Male,18,$75000+,Mod satisfied,Exciting,Very important,56,Graduate,Agree,PRETTY HAPPY
36,Female,14,$35000-39999,Very satisfied,Exciting,Very important,41,Junior college,Agree,VERY HAPPY
39,Female,16,$50000-59999,Mod satisfied,Exciting,Very important,40,Bachelor,Disagree,VERY HAPPY
52,Male,17,$40000-49999,Mod satisfied,NA,Very important,46,Bachelor,NA,PRETTY HAPPY
44,Male,14,$40000-49999,Mod satisfied,Routine,Very important,40,Junior college,Disagree,PRETTY HAPPY
21,Male,13,$50000-59999,NA,Dull,One of most important,NA,High school,Agree,PRETTY HAPPY
42,Female,12,$50000-59999,Mod satisfied,NA,Somewhat important,NA,High school,NA,PRETTY HAPPY
35,Female,19,$75000+,Very satisfied,Exciting,Very important,45,Graduate,Disagree,PRETTY HAPPY
26,Male,13,$35000-39999,Mod satisfied,Routine,Somewhat important,52,High school,Agree,PRETTY HAPPY
48,Female,12,$60000-74999,Very satisfied,Exciting,One of most important,42,High school,Agree,PRETTY HAPPY
68,Female,13,$10000-12499,NA,Routine,Very important,NA,High school,Agree,NOT TOO HAPPY
26,Male,12,$22500-24999,Very satisfied,NA,Very important,30,High school,NA,PRETTY HAPPY
36,Male,12,$40000-49999,A little dissatisfied,Routine,Not too important,44,High school,Agree,PRETTY HAPPY
55,Female,12,$8000-9999,NA,Dull,Not at all important,NA,High school,Disagree,NOT TOO HAPPY
41,Male,14,REFUSED,Mod satisfied,Exciting,Very important,53,High school,Agree,PRETTY HAPPY
43,Male,12,$30000-34999,Very satisfied,NA,Very important,46,High school,NA,NOT TOO HAPPY
66,Female,12,$17500-19999,NA,Exciting,Very important,NA,High school,Agree,PRETTY HAPPY
29,Female,16,$75000+,Very satisfied,Exciting,Very important,24,Bachelor,Disagree,PRETTY HAPPY
41,Female,16,$30000-34999,Mod satisfied,Exciting,Very important,40,Bachelor,Agree,PRETTY HAPPY
19,Female,11,$20000-22499,Mod satisfied,Exciting,Very important,29,Less than HS,Disagree,VERY HAPPY
47,Male,18,$60000-74999,Very dissatisfied,NA,Somewhat important,65,Graduate,NA,NOT TOO HAPPY
49,Male,13,$35000-39999,Mod satisfied,NA,Very important,40,High school,NA,VERY HAPPY
58,Male,12,$35000-39999,Very satisfied,NA,Very important,55,High school,NA,VERY HAPPY
19,Female,12,NA,Very satisfied,NA,One of most important,40,High school,NA,NOT TOO HAPPY
35,Male,12,$50000-59999,Very satisfied,Routine,Very important,49,High school,Agree,VERY HAPPY
30,Female,12,$60000-74999,A little dissatisfied,Routine,One of most important,25,High school,Agree,NOT TOO HAPPY
42,Male,15,$50000-59999,A little dissatisfied,Routine,Somewhat important,40,Junior college,Agree,PRETTY HAPPY
54,Female,12,$30000-34999,Very satisfied,Exciting,One of most important,40,High school,Agree,VERY HAPPY
43,Female,12,$5000-5999,A little dissatisfied,Dull,One of most important,20,High school,Agree,NOT TOO HAPPY
33,Female,16,$40000-49999,Very satisfied,NA,Very important,40,Bachelor,NA,VERY HAPPY
21,Male,12,$40000-49999,Mod satisfied,Routine,Very important,28,High school,Disagree,PRETTY HAPPY
26,Male,12,$15000-17499,Mod satisfied,Exciting,Very important,65,High school,Agree,PRETTY HAPPY
42,Male,12,NA,Mod satisfied,NA,Very important,42,High school,NA,VERY HAPPY
34,Male,17,$30000-34999,Very satisfied,NA,Very important,50,Bachelor,NA,VERY HAPPY
25,Female,15,$35000-39999,Very dissatisfied,Routine,Very important,26,High school,Agree,PRETTY HAPPY
43,Male,11,$75000+,Very satisfied,Exciting,Very important,42,Less than HS,Disagree,VERY HAPPY
65,Male,14,$60000-74999,Mod satisfied,Exciting,Very important,40,Junior college,NA,PRETTY HAPPY
20,Male,12,$1000-2999,Very dissatisfied,Exciting,Somewhat important,20,High school,Agree,PRETTY HAPPY
22,Female,15,$4000-4999,Mod satisfied,NA,One of most important,30,High school,NA,PRETTY HAPPY
23,Female,15,$1000-2999,NA,Routine,One of most important,NA,High school,Disagree,PRETTY HAPPY
22,Female,15,$5000-5999,Very satisfied,Routine,Very important,22,Junior college,Agree,PRETTY HAPPY
22,Male,15,$3000-3999,Very satisfied,Exciting,Very important,25,High school,Agree,PRETTY HAPPY
20,Female,13,$1000-2999,NA,Exciting,Somewhat important,NA,High school,Agree,VERY HAPPY
41,Male,13,$35000-39999,Mod satisfied,Routine,Very important,40,High school,Disagree,PRETTY HAPPY
21,Female,11,$8000-9999,Very satisfied,NA,One of most important,NA,Less than HS,NA,VERY HAPPY
33,Male,12,$60000-74999,Mod satisfied,NA,Very important,50,High school,NA,PRETTY HAPPY
87,Female,12,NA,Very satisfied,Exciting,Somewhat important,NA,High school,Disagree,VERY HAPPY
77,Female,12,REFUSED,NA,NA,Somewhat important,NA,High school,NA,PRETTY HAPPY
40,Male,12,$30000-34999,Mod satisfied,NA,Very important,55,Less than HS,NA,PRETTY HAPPY
25,Male,16,$25000-29999,Mod satisfied,Exciting,Very important,48,Bachelor,NA,PRETTY HAPPY
51,Male,12,$17500-19999,Very satisfied,Exciting,One of most important,55,High school,Disagree,VERY HAPPY
32,Female,13,$40000-49999,Mod satisfied,Routine,Very important,NA,High school,Agree,PRETTY HAPPY
30,Female,14,$40000-49999,Mod satisfied,Routine,Very important,NA,High school,Disagree,VERY HAPPY
86,Male,8,$10000-12499,NA,Routine,Somewhat important,NA,Less than HS,Disagree,PRETTY HAPPY
40,Female,16,$75000+,Mod satisfied,Exciting,One of most important,NA,High school,Disagree,VERY HAPPY
46,Female,12,$3000-3999,Very satisfied,NA,Very important,20,High school,NA,PRETTY HAPPY
40,Female,12,$40000-49999,Very satisfied,Exciting,One of most important,40,High school,Disagree,VERY HAPPY
43,Male,10,$75000+,Very satisfied,NA,Very important,56,Less than HS,NA,VERY HAPPY
46,Male,12,$40000-49999,Mod satisfied,Routine,One of most important,50,High school,Disagree,VERY HAPPY
70,Female,13,$20000-22499,NA,NA,Somewhat important,NA,High school,NA,VERY HAPPY
32,Male,12,$50000-59999,Mod satisfied,NA,Very important,45,High school,NA,PRETTY HAPPY
37,Male,12,$50000-59999,Very satisfied,Exciting,One of most important,60,High school,Disagree,VERY HAPPY
53,Male,12,$12500-14999,Mod satisfied,NA,Somewhat important,NA,High school,NA,PRETTY HAPPY
32,Female,12,$1000-2999,Very satisfied,NA,One of most important,NA,High school,NA,VERY HAPPY
52,Male,6,$30000-34999,Very satisfied,NA,Very important,45,Less than HS,NA,VERY HAPPY
43,Female,12,$6000-6999,Mod satisfied,Exciting,Very important,NA,High school,Agree,NOT TOO HAPPY
25,Male,12,$20000-22499,Very satisfied,Exciting,One of most important,48,High school,Agree,VERY HAPPY
46,Male,12,$40000-49999,Very satisfied,NA,Very important,40,High school,NA,VERY HAPPY
66,Female,14,$25000-29999,Very satisfied,Exciting,Not too important,NA,High school,Disagree,VERY HAPPY
42,Male,12,$17500-19999,Mod satisfied,Dull,Very important,38,High school,Agree,NOT TOO HAPPY
38,Male,11,$20000-22499,Very satisfied,Dull,Somewhat important,48,High school,Agree,PRETTY HAPPY
23,Male,14,$15000-17499,A little dissatisfied,NA,One of most important,40,High school,NA,PRETTY HAPPY
35,Female,12,$10000-12499,NA,Routine,Very important,NA,High school,Disagree,PRETTY HAPPY
62,Male,14,$60000-74999,NA,Exciting,Very important,NA,High school,Disagree,VERY HAPPY
19,Male,11,$22500-24999,NA,Exciting,Very important,NA,Less than HS,Disagree,PRETTY HAPPY
19,Female,11,$50000-59999,NA,Exciting,Very important,NA,Less than HS,Agree,VERY HAPPY
58,Female,14,$30000-34999,Mod satisfied,Routine,Very important,NA,Junior college,Agree,PRETTY HAPPY
59,Female,16,$50000-59999,Very satisfied,NA,One of most important,40,Bachelor,NA,VERY HAPPY
68,Female,9,$15000-17499,Very satisfied,Routine,One of most important,NA,Less than HS,Agree,PRETTY HAPPY
47,Male,13,$22500-24999,Mod satisfied,Routine,Very important,56,High school,Disagree,PRETTY HAPPY
19,Male,11,$40000-49999,NA,Exciting,One of most important,NA,Less than HS,Agree,PRETTY HAPPY
35,Male,11,$25000-29999,Very dissatisfied,Exciting,Very important,35,Less than HS,Agree,PRETTY HAPPY
44,Female,12,$22500-24999,Very satisfied,Routine,One of most important,40,High school,Agree,PRETTY HAPPY
41,Female,11,$35000-39999,Very satisfied,Routine,Very important,NA,High school,Agree,NOT TOO HAPPY
38,Female,14,$30000-34999,Very satisfied,Routine,Very important,40,Junior college,Agree,PRETTY HAPPY
36,Female,18,$60000-74999,Very satisfied,NA,Very important,40,Graduate,NA,PRETTY HAPPY
43,Male,13,$50000-59999,Very satisfied,Exciting,Very important,52,High school,Agree,VERY HAPPY
35,Female,12,NA,Mod satisfied,NA,NA,NA,Less than HS,NA,NOT TOO HAPPY
25,Male,12,$1000-2999,A little dissatisfied,Exciting,Very important,48,Less than HS,Disagree,PRETTY HAPPY
25,Male,14,$35000-39999,A little dissatisfied,Routine,Very important,50,High school,Agree,PRETTY HAPPY
73,Male,14,NA,Very satisfied,NA,Very important,50,High school,NA,NOT TOO HAPPY
36,Male,16,REFUSED,Very satisfied,Exciting,Very important,50,Bachelor,Agree,PRETTY HAPPY
35,Male,13,$75000+,Very satisfied,Routine,One of most important,65,High school,Agree,PRETTY HAPPY
67,Female,12,$60000-74999,NA,NA,Very important,NA,High school,NA,VERY HAPPY
51,Female,13,$40000-49999,Very satisfied,NA,One of most important,60,High school,NA,VERY HAPPY
58,Female,12,$10000-12499,Very satisfied,NA,One of most important,40,High school,NA,NOT TOO HAPPY
40,Female,12,$20000-22499,Mod satisfied,Exciting,Very important,44,High school,Disagree,VERY HAPPY
68,Male,13,$22500-24999,NA,Routine,One of most important,NA,Less than HS,Disagree,PRETTY HAPPY
19,Female,8,LT $1000,A little dissatisfied,Routine,Very important,NA,Less than HS,Agree,PRETTY HAPPY
52,Male,12,REFUSED,Very satisfied,Exciting,One of most important,40,High school,Agree,PRETTY HAPPY
53,Female,13,$75000+,Very satisfied,Exciting,Very important,35,High school,Disagree,VERY HAPPY
63,Female,14,$17500-19999,Very satisfied,NA,Not at all important,2,Junior college,NA,PRETTY HAPPY
75,Female,16,$25000-29999,NA,Routine,Somewhat important,NA,Bachelor,Disagree,VERY HAPPY
38,Female,12,$30000-34999,Mod satisfied,NA,Very important,50,High school,NA,PRETTY HAPPY
38,Female,14,$40000-49999,Mod satisfied,NA,Very important,40,Junior college,NA,PRETTY HAPPY
49,Male,16,$6000-6999,Mod satisfied,Exciting,Very important,30,Bachelor,Agree,PRETTY HAPPY
50,Female,14,$35000-39999,Mod satisfied,Routine,Very important,16,Junior college,Agree,PRETTY HAPPY
78,Female,14,$7000-7999,NA,Routine,Very important,NA,High school,Agree,PRETTY HAPPY
57,Male,8,$1000-2999,Very satisfied,Routine,Very important,NA,Less than HS,Agree,VERY HAPPY
69,Female,12,$15000-17499,NA,Exciting,One of most important,NA,High school,Agree,NOT TOO HAPPY
68,Female,12,$35000-39999,NA,NA,Very important,NA,High school,NA,PRETTY HAPPY
58,Male,12,$35000-39999,Very satisfied,NA,One of most important,40,High school,NA,VERY HAPPY
45,Female,13,$50000-59999,Mod satisfied,Routine,Somewhat important,45,High school,Agree,VERY HAPPY
20,Male,12,$25000-29999,Mod satisfied,Routine,Very important,42,High school,Agree,PRETTY HAPPY
78,Male,9,$35000-39999,Mod satisfied,Routine,One of most important,12,Less than HS,Agree,VERY HAPPY
52,Male,14,$8000-9999,NA,Routine,Very important,NA,Junior college,Agree,PRETTY HAPPY
39,Male,14,$22500-24999,Very satisfied,Exciting,Very important,40,Junior college,Agree,VERY HAPPY
81,Female,12,$4000-4999,NA,NA,Not at all important,NA,High school,NA,PRETTY HAPPY
36,Female,12,$6000-6999,Very satisfied,NA,Somewhat important,22,High school,NA,PRETTY HAPPY
51,Female,0,$10000-12499,Very satisfied,Routine,Very important,20,Less than HS,Agree,PRETTY HAPPY
78,Female,18,$30000-34999,Very satisfied,NA,One of most important,40,Bachelor,NA,PRETTY HAPPY
25,Female,12,$30000-34999,A little dissatisfied,Dull,Very important,40,High school,Agree,PRETTY HAPPY
36,Male,19,$35000-39999,Mod satisfied,Exciting,Very important,42,Graduate,Agree,PRETTY HAPPY
33,Female,16,LT $1000,Very satisfied,Exciting,Very important,NA,Bachelor,Disagree,VERY HAPPY
51,Male,12,$50000-59999,NA,Routine,Not too important,NA,High school,Agree,PRETTY HAPPY
47,Female,14,$50000-59999,Very satisfied,Exciting,Very important,NA,Junior college,Agree,VERY HAPPY
21,Female,13,$50000-59999,Mod satisfied,Exciting,Very important,35,High school,Agree,VERY HAPPY
59,Female,12,$30000-34999,Very satisfied,Exciting,Very important,NA,High school,Agree,VERY HAPPY
23,Female,11,NA,Very satisfied,Routine,Very important,36,Less than HS,Disagree,PRETTY HAPPY
76,Male,7,$30000-34999,NA,NA,One of most important,NA,Less than HS,NA,PRETTY HAPPY
40,Female,12,$40000-49999,Very satisfied,Exciting,Very important,35,High school,Disagree,VERY HAPPY
38,Female,12,$10000-12499,Very satisfied,Routine,Somewhat important,NA,High school,NA,VERY HAPPY
66,Female,12,$6000-6999,Mod satisfied,Routine,Very important,NA,High school,Disagree,PRETTY HAPPY
73,Female,7,$4000-4999,NA,Exciting,Somewhat important,NA,Less than HS,Agree,VERY HAPPY
80,Male,8,$3000-3999,NA,NA,Not at all important,NA,Less than HS,NA,PRETTY HAPPY
57,Female,6,$4000-4999,NA,NA,Not at all important,NA,Less than HS,NA,NOT TOO HAPPY
78,Female,11,$6000-6999,NA,Exciting,Very important,NA,Less than HS,Agree,VERY HAPPY
66,Female,12,$4000-4999,NA,Routine,Not too important,NA,High school,Agree,PRETTY HAPPY
88,Male,12,$30000-34999,NA,Routine,Very important,NA,High school,Disagree,VERY HAPPY
58,Female,12,$35000-39999,NA,NA,Very important,NA,High school,NA,VERY HAPPY
39,Male,12,$20000-22499,Very dissatisfied,NA,Not too important,NA,High school,NA,PRETTY HAPPY
31,Female,12,$17500-19999,Mod satisfied,NA,Very important,47,High school,NA,PRETTY HAPPY
51,Female,16,$25000-29999,Very satisfied,NA,Somewhat important,40,Bachelor,NA,VERY HAPPY
37,Male,17,$22500-24999,Mod satisfied,Exciting,One of most important,40,Bachelor,Agree,PRETTY HAPPY
32,Female,12,$20000-22499,Mod satisfied,Routine,Very important,18,High school,Disagree,PRETTY HAPPY
73,Female,8,$6000-6999,NA,Routine,Very important,NA,Less than HS,Agree,VERY HAPPY
47,Male,16,$50000-59999,Very dissatisfied,NA,Somewhat important,60,Bachelor,NA,PRETTY HAPPY
71,Female,16,REFUSED,Very satisfied,Routine,Very important,NA,Bachelor,Agree,VERY HAPPY
42,Male,14,$10000-12499,Very satisfied,Exciting,One of most important,NA,Junior college,Agree,NOT TOO HAPPY
75,Female,12,$10000-12499,NA,Routine,Very important,NA,High school,Disagree,PRETTY HAPPY
72,Female,10,$4000-4999,NA,Exciting,Very important,NA,Less than HS,Agree,PRETTY HAPPY
63,Female,16,$50000-59999,NA,NA,Very important,NA,Bachelor,NA,VERY HAPPY
89,Female,8,$10000-12499,NA,NA,Not at all important,NA,Less than HS,NA,PRETTY HAPPY
49,Male,4,$12500-14999,NA,Routine,Not too important,NA,Less than HS,Agree,PRETTY HAPPY
64,Male,12,$25000-29999,Very satisfied,Routine,Very important,40,High school,Disagree,PRETTY HAPPY
64,Female,12,$20000-22499,NA,NA,One of most important,NA,High school,NA,VERY HAPPY
46,Male,12,$35000-39999,NA,Dull,Not at all important,NA,High school,Agree,PRETTY HAPPY
76,Female,8,$6000-6999,NA,Dull,Very important,NA,Less than HS,Agree,NOT TOO HAPPY
72,Female,12,$10000-12499,NA,Exciting,Very important,NA,High school,Agree,PRETTY HAPPY
77,Female,13,REFUSED,NA,NA,Very important,NA,High school,NA,PRETTY HAPPY
27,Female,14,$30000-34999,Mod satisfied,Routine,One of most important,40,Junior college,Disagree,VERY HAPPY
21,Female,9,$10000-12499,Very dissatisfied,Exciting,Somewhat important,NA,High school,Agree,PRETTY HAPPY
32,Female,20,$15000-17499,Mod satisfied,Routine,Very important,60,Bachelor,Disagree,PRETTY HAPPY
40,Male,20,$50000-59999,Very satisfied,NA,One of most important,48,Graduate,NA,NOT TOO HAPPY
45,Female,17,$50000-59999,Very satisfied,Exciting,One of most important,55,Bachelor,Disagree,PRETTY HAPPY
26,Female,12,$35000-39999,Very satisfied,NA,Very important,40,High school,NA,NOT TOO HAPPY
84,Female,16,$10000-12499,NA,NA,One of most important,NA,High school,NA,PRETTY HAPPY
46,Female,20,$30000-34999,Very satisfied,Exciting,One of most important,60,Graduate,Disagree,VERY HAPPY
32,Female,18,$17500-19999,Mod satisfied,Routine,Very important,50,Graduate,Disagree,VERY HAPPY
36,Male,16,$35000-39999,Very satisfied,Routine,Very important,36,Bachelor,Agree,NOT TOO HAPPY
21,Female,14,$1000-2999,NA,Exciting,One of most important,NA,High school,Disagree,VERY HAPPY
30,Female,14,$20000-22499,Very dissatisfied,Dull,Very important,40,High school,Agree,NOT TOO HAPPY
23,Female,16,$4000-4999,Very satisfied,Exciting,Very important,16,High school,Disagree,PRETTY HAPPY
51,Female,12,$17500-19999,Mod satisfied,Routine,Somewhat important,35,High school,Agree,VERY HAPPY
40,Male,19,$75000+,Mod satisfied,Exciting,Very important,45,Graduate,Agree,PRETTY HAPPY
51,Male,16,$75000+,Very dissatisfied,NA,Very important,60,Bachelor,NA,PRETTY HAPPY
54,Female,16,$50000-59999,Very satisfied,Exciting,Very important,38,Bachelor,Disagree,VERY HAPPY
61,Female,12,$75000+,Very satisfied,Routine,Not at all important,NA,High school,Agree,VERY HAPPY
27,Male,16,$22500-24999,Mod satisfied,Routine,Very important,40,Bachelor,Agree,VERY HAPPY
55,Female,6,$3000-3999,Very satisfied,NA,One of most important,21,Less than HS,NA,NOT TOO HAPPY
33,Male,NA,$15000-17499,Very satisfied,Routine,Very important,NA,High school,Agree,VERY HAPPY
61,Female,8,$17500-19999,Very satisfied,Routine,Very important,NA,Less than HS,Disagree,PRETTY HAPPY
38,Female,12,$15000-17499,Very satisfied,NA,Very important,33,High school,NA,PRETTY HAPPY
36,Female,12,$30000-34999,Very satisfied,NA,Very important,NA,High school,NA,VERY HAPPY
50,Female,12,$3000-3999,Very dissatisfied,Routine,Very important,15,High school,Agree,PRETTY HAPPY
67,Female,4,$8000-9999,NA,NA,One of most important,NA,Less than HS,NA,VERY HAPPY
81,Female,13,$30000-34999,NA,Routine,Not too important,NA,High school,Agree,PRETTY HAPPY
63,Male,17,$75000+,Mod satisfied,Exciting,Very important,45,Bachelor,Disagree,VERY HAPPY
43,Female,18,$30000-34999,Very satisfied,Routine,One of most important,40,Graduate,Agree,PRETTY HAPPY
47,Male,13,$25000-29999,A little dissatisfied,Exciting,Very important,NA,High school,Agree,VERY HAPPY
44,Female,14,$40000-49999,A little dissatisfied,Routine,Somewhat important,45,Junior college,Agree,VERY HAPPY
28,Male,NA,LT $1000,Very satisfied,NA,One of most important,25,High school,NA,PRETTY HAPPY
32,Female,14,REFUSED,Very satisfied,Exciting,One of most important,60,High school,Agree,VERY HAPPY
20,Male,13,$10000-12499,Mod satisfied,Routine,Very important,13,High school,Agree,PRETTY HAPPY
50,Male,12,$40000-49999,Very satisfied,Exciting,Very important,50,High school,Disagree,PRETTY HAPPY
31,Female,14,$60000-74999,A little dissatisfied,NA,One of most important,40,High school,NA,PRETTY HAPPY
62,Female,14,$25000-29999,NA,Exciting,Somewhat important,NA,High school,Agree,PRETTY HAPPY
66,Male,10,$50000-59999,NA,Exciting,Somewhat important,NA,Less than HS,NA,VERY HAPPY
29,Male,14,$40000-49999,Very satisfied,Exciting,Very important,60,Junior college,Agree,PRETTY HAPPY
30,Male,11,$15000-17499,Very satisfied,NA,Very important,45,High school,NA,PRETTY HAPPY
34,Male,15,$50000-59999,Very dissatisfied,Routine,Very important,40,Junior college,Agree,VERY HAPPY
63,Female,12,$35000-39999,Mod satisfied,Routine,Very important,36,High school,Agree,PRETTY HAPPY
55,Female,13,$40000-49999,Very satisfied,NA,Very important,40,High school,NA,VERY HAPPY
39,Female,11,$10000-12499,Mod satisfied,Routine,One of most important,NA,High school,Agree,NOT TOO HAPPY
36,Male,13,$15000-17499,A little dissatisfied,NA,One of most important,40,High school,NA,PRETTY HAPPY
77,Female,16,$17500-19999,NA,NA,Very important,NA,Bachelor,NA,PRETTY HAPPY
39,Male,12,$30000-34999,A little dissatisfied,NA,One of most important,55,High school,NA,PRETTY HAPPY
28,Female,19,$5000-5999,Mod satisfied,Exciting,One of most important,39,Bachelor,Agree,PRETTY HAPPY
23,Male,15,$22500-24999,Very dissatisfied,NA,One of most important,26,High school,NA,VERY HAPPY
21,Male,14,$6000-6999,NA,Exciting,Very important,NA,High school,Agree,PRETTY HAPPY
63,Male,12,$30000-34999,NA,Exciting,Very important,NA,High school,Disagree,VERY HAPPY
46,Female,14,$60000-74999,Mod satisfied,Exciting,Very important,45,High school,Agree,PRETTY HAPPY
42,Male,20,$30000-34999,NA,NA,Very important,NA,Graduate,NA,PRETTY HAPPY
39,Female,19,$50000-59999,Very satisfied,Exciting,One of most important,35,Graduate,Disagree,PRETTY HAPPY
77,Female,14,REFUSED,Very satisfied,NA,Somewhat important,40,High school,NA,PRETTY HAPPY
28,Female,13,$20000-22499,Mod satisfied,Routine,Very important,4,High school,NA,VERY HAPPY
87,Male,10,$8000-9999,NA,NA,Very important,NA,Less than HS,NA,PRETTY HAPPY
49,Male,17,$75000+,Mod satisfied,Exciting,Very important,36,Bachelor,Agree,VERY HAPPY
56,Female,18,$60000-74999,Mod satisfied,Routine,One of most important,40,Graduate,Agree,PRETTY HAPPY
28,Male,12,$50000-59999,Very satisfied,Exciting,Very important,42,High school,Agree,PRETTY HAPPY
30,Female,12,$35000-39999,Very satisfied,Routine,Very important,NA,High school,Agree,PRETTY HAPPY
24,Male,12,$3000-3999,Mod satisfied,Exciting,Very important,57,High school,Agree,PRETTY HAPPY
37,Female,18,$75000+,Very satisfied,Routine,Very important,50,Graduate,Agree,PRETTY HAPPY
48,Female,12,$35000-39999,A little dissatisfied,NA,Somewhat important,40,High school,NA,PRETTY HAPPY
77,Female,13,$35000-39999,NA,Dull,Very important,NA,High school,Agree,NOT TOO HAPPY
73,Female,19,$25000-29999,NA,Exciting,Not too important,NA,Graduate,Disagree,VERY HAPPY
65,Female,13,$75000+,NA,Dull,Very important,NA,High school,Agree,NOT TOO HAPPY
74,Male,12,$40000-49999,NA,Routine,One of most important,NA,High school,Agree,PRETTY HAPPY
22,Female,16,$75000+,Very satisfied,Exciting,One of most important,NA,Junior college,Agree,PRETTY HAPPY
19,Male,11,$75000+,NA,Routine,Very important,NA,Less than HS,Disagree,PRETTY HAPPY
49,Male,15,$75000+,Mod satisfied,NA,Very important,25,Junior college,NA,PRETTY HAPPY
74,Female,12,$12500-14999,NA,NA,Somewhat important,NA,High school,NA,NOT TOO HAPPY
89,Female,16,$6000-6999,NA,NA,Very important,NA,High school,NA,VERY HAPPY
36,Male,9,$30000-34999,Mod satisfied,Routine,Somewhat important,44,Less than HS,Agree,PRETTY HAPPY
35,Male,12,$20000-22499,Mod satisfied,Routine,Very important,40,High school,Agree,PRETTY HAPPY
36,Female,12,$22500-24999,Mod satisfied,Exciting,Very important,40,High school,Disagree,PRETTY HAPPY
37,Female,13,$22500-24999,A little dissatisfied,Exciting,One of most important,40,High school,Agree,NOT TOO HAPPY
53,Female,12,$4000-4999,NA,Routine,Somewhat important,NA,High school,Agree,VERY HAPPY
74,Male,16,$17500-19999,NA,Exciting,Somewhat important,NA,High school,Agree,PRETTY HAPPY
55,Male,14,$30000-34999,Mod satisfied,Routine,Very important,40,Junior college,Agree,PRETTY HAPPY
39,Male,16,$40000-49999,Mod satisfied,Exciting,Very important,40,Bachelor,Disagree,PRETTY HAPPY
89,Female,7,$1000-2999,NA,Dull,Very important,NA,Less than HS,Agree,NOT TOO HAPPY
74,Female,11,$15000-17499,NA,NA,Very important,NA,Less than HS,NA,PRETTY HAPPY
89,Male,12,$12500-14999,NA,NA,Very important,NA,High school,NA,VERY HAPPY
72,Male,12,$35000-39999,Very satisfied,Exciting,Very important,40,High school,NA,PRETTY HAPPY
52,Female,18,$40000-49999,A little dissatisfied,NA,Very important,45,Bachelor,NA,PRETTY HAPPY
38,Female,13,$40000-49999,Very satisfied,NA,Very important,50,High school,NA,PRETTY HAPPY
52,Male,14,$60000-74999,Very satisfied,NA,One of most important,40,Junior college,NA,VERY HAPPY
76,Male,8,$15000-17499,NA,NA,Very important,NA,Less than HS,NA,PRETTY HAPPY
58,Female,13,$15000-17499,Mod satisfied,Routine,Very important,20,High school,Agree,PRETTY HAPPY
43,Male,13,$30000-34999,Very satisfied,NA,Somewhat important,65,High school,NA,NOT TOO HAPPY
24,Male,12,$30000-34999,Mod satisfied,NA,Very important,42,High school,NA,PRETTY HAPPY
74,Female,11,$7000-7999,NA,Dull,Not at all important,NA,High school,NA,PRETTY HAPPY
56,Female,11,$15000-17499,Very satisfied,Routine,Very important,44,Less than HS,Disagree,PRETTY HAPPY
73,Female,10,$7000-7999,Mod satisfied,Routine,Somewhat important,NA,Less than HS,Agree,PRETTY HAPPY
39,Male,16,$5000-5999,NA,Routine,Very important,NA,High school,Agree,PRETTY HAPPY
87,Male,13,$20000-22499,NA,Exciting,Very important,NA,High school,Agree,VERY HAPPY
28,Female,14,$35000-39999,Mod satisfied,Routine,Somewhat important,38,Junior college,Agree,PRETTY HAPPY
40,Male,15,$50000-59999,Very satisfied,NA,Very important,40,Junior college,NA,VERY HAPPY
24,Male,9,$15000-17499,Very satisfied,Exciting,Very important,37,Less than HS,Agree,PRETTY HAPPY
49,Male,9,$50000-59999,Mod satisfied,Routine,Very important,45,Less than HS,Agree,PRETTY HAPPY
42,Female,12,NA,Very satisfied,NA,Somewhat important,6,High school,NA,VERY HAPPY
64,Male,7,$35000-39999,NA,Exciting,Very important,NA,Less than HS,Agree,VERY HAPPY
63,Female,9,$8000-9999,Mod satisfied,Dull,Somewhat important,NA,Less than HS,Disagree,PRETTY HAPPY
58,Female,7,LT $1000,A little dissatisfied,NA,Very important,NA,Less than HS,NA,PRETTY HAPPY
59,Female,12,$25000-29999,NA,Routine,Very important,NA,High school,Agree,VERY HAPPY
47,Male,12,$15000-17499,Mod satisfied,NA,Very important,70,High school,NA,PRETTY HAPPY
88,Female,8,NA,NA,Dull,Very important,NA,Less than HS,NA,PRETTY HAPPY
82,Male,12,$20000-22499,NA,Dull,Very important,NA,High school,Agree,NOT TOO HAPPY
87,Male,13,NA,NA,Routine,Very important,NA,High school,Agree,VERY HAPPY
