,age,sex,educ,income91,richwork,satjob,life,impjob,hrs1,degree,anomia5,satjob2,marital,agewed,zodiac,postlife,happy,hapmar,tvhours
64,41,Male,12,30000,Stop working,Mod satisfied,Routine,Somewhat important,42,High school,Disagree,Not very satisfied,MARRIED,24,PISCES,YES,VERY HAPPY,VERY HAPPY,2
65,26,Male,12,22500,Stop working,Mod satisfied,Routine,Very important,44,High school,Agree,Not very satisfied,MARRIED,21,SAGITTARIUS,YES,PRETTY HAPPY,VERY HAPPY,4
66,82,Male,16,75000,Continue working,Very satisfied,Routine,Very important,36,Bachelor,Disagree,Very satisfied,MARRIED,26,VIRGO,YES,VERY HAPPY,VERY HAPPY,3
67,27,Female,16,17500,Continue working,Very satisfied,Routine,Very important,45,Bachelor,Agree,Very satisfied,MARRIED,23,CANCER,YES,NOT TOO HAPPY,PRETTY HAPPY,3
68,23,Male,12,22500,Continue working,Very satisfied,Routine,Very important,56,High school,Agree,Very satisfied,MARRIED,19,GEMINI,YES,VERY HAPPY,VERY HAPPY,1
69,47,Male,14,50000,Continue working,Very satisfied,Exciting,Very important,55,Junior college,Disagree,Very satisfied,MARRIED,21,SAGITTARIUS,YES,PRETTY HAPPY,VERY HAPPY,1
70,46,Male,14,22500,Continue working,A little dissatisfied,Exciting,Very important,75,High school,Disagree,Not very satisfied,MARRIED,27,SCORPIO,YES,PRETTY HAPPY,PRETTY HAPPY,0
71,47,Male,7,22500,Continue working,Mod satisfied,Routine,One of most important,61,Less than HS,Agree,Not very satisfied,MARRIED,19,TAURUS,NO,PRETTY HAPPY,PRETTY HAPPY,2
72,46,Female,16,17500,Continue working,Mod satisfied,Exciting,One of most important,40,Bachelor,Disagree,Not very satisfied,MARRIED,27,AQUARIUS,YES,VERY HAPPY,VERY HAPPY,4
73,56,Male,12,50000,Stop working,Mod satisfied,Exciting,Somewhat important,40,High school,Disagree,Not very satisfied,MARRIED,24,CAPRICORN,YES,VERY HAPPY,VERY HAPPY,4
74,44,Male,19,6000,Continue working,Very satisfied,Exciting,Very important,20,Bachelor,Agree,Very satisfied,MARRIED,22,VIRGO,NO,VERY HAPPY,VERY HAPPY,2
75,35,Female,16,75000,Continue working,Very satisfied,Exciting,One of most important,40,Bachelor,Agree,Very satisfied,MARRIED,27,LEO,YES,PRETTY HAPPY,PRETTY HAPPY,2
76,51,Male,10,30000,Continue working,Mod satisfied,Routine,Very important,50,Less than HS,Agree,Not very satisfied,MARRIED,19,CAPRICORN,NO,PRETTY HAPPY,NOT TOO HAPPY,1
77,41,Female,15,75000,Continue working,A little dissatisfied,Exciting,Very important,2,Graduate,Agree,Not very satisfied,MARRIED,36,GEMINI,YES,PRETTY HAPPY,VERY HAPPY,5
78,53,Female,14,50000,Stop working,Very dissatisfied,Routine,Very important,45,High school,Agree,Not very satisfied,MARRIED,23,LEO,YES,NOT TOO HAPPY,VERY HAPPY,3
79,39,Female,14,35000,Stop working,Very satisfied,Routine,Somewhat important,40,High school,Agree,Very satisfied,MARRIED,20,PISCES,YES,PRETTY HAPPY,PRETTY HAPPY,2
80,45,Female,14,75000,Stop working,Very satisfied,Routine,Very important,40,High school,Agree,Very satisfied,MARRIED,20,PISCES,NO,PRETTY HAPPY,PRETTY HAPPY,1
81,44,Male,12,50000,Stop working,Mod satisfied,Exciting,Very important,55,High school,Agree,Not very satisfied,MARRIED,22,SCORPIO,NO,PRETTY HAPPY,PRETTY HAPPY,0
82,25,Female,12,12500,Continue working,Mod satisfied,Exciting,Somewhat important,24,High school,Agree,Not very satisfied,MARRIED,20,LIBRA,NO,PRETTY HAPPY,NOT TOO HAPPY,2
83,49,Male,13,75000,Continue working,Very satisfied,Routine,One of most important,40,High school,Agree,Very satisfied,MARRIED,24,CANCER,YES,PRETTY HAPPY,VERY HAPPY,2
84,39,Male,13,60000,Continue working,Very satisfied,Exciting,Very important,70,High school,Agree,Very satisfied,MARRIED,19,LIBRA,YES,VERY HAPPY,VERY HAPPY,1
85,45,Male,16,40000,Continue working,Very satisfied,Routine,Very important,40,Bachelor,Agree,Very satisfied,MARRIED,20,SCORPIO,NO,NOT TOO HAPPY,NOT TOO HAPPY,2
86,53,Male,18,50000,Continue working,Mod satisfied,Exciting,Very important,50,Graduate,Agree,Not very satisfied,MARRIED,27,TAURUS,YES,NOT TOO HAPPY,VERY HAPPY,1
87,32,Female,9,35000,Stop working,Very satisfied,Routine,One of most important,40,Less than HS,Disagree,Very satisfied,MARRIED,22,PISCES,NO,PRETTY HAPPY,PRETTY HAPPY,3
88,32,Male,15,35000,Continue working,A little dissatisfied,Routine,Somewhat important,57,High school,Agree,Not very satisfied,MARRIED,26,ARIES,YES,PRETTY HAPPY,PRETTY HAPPY,2
89,29,Male,18,60000,Continue working,Very satisfied,Exciting,Very important,43,Junior college,Agree,Very satisfied,MARRIED,24,PISCES,NO,NOT TOO HAPPY,VERY HAPPY,6
90,37,Female,13,75000,Continue working,Mod satisfied,Exciting,One of most important,40,High school,Disagree,Not very satisfied,MARRIED,21,CAPRICORN,YES,VERY HAPPY,VERY HAPPY,1
91,30,Male,16,30000,Continue working,Very satisfied,Exciting,Very important,37,Bachelor,Disagree,Very satisfied,MARRIED,28,TAURUS,YES,VERY HAPPY,VERY HAPPY,1
92,58,Male,14,75000,Stop working,Very satisfied,Exciting,Very important,60,High school,Disagree,Very satisfied,MARRIED,21,PISCES,YES,VERY HAPPY,VERY HAPPY,3
93,41,Female,14,25000,Continue working,Very satisfied,Routine,Somewhat important,20,High school,Agree,Very satisfied,MARRIED,19,LEO,YES,PRETTY HAPPY,PRETTY HAPPY,2
94,31,Male,14,22500,Continue working,Very satisfied,Routine,Very important,40,High school,Agree,Very satisfied,MARRIED,19,AQUARIUS,YES,PRETTY HAPPY,PRETTY HAPPY,2
95,38,Male,16,30000,Continue working,Very dissatisfied,Exciting,Very important,40,Bachelor,Agree,Not very satisfied,MARRIED,31,SCORPIO,YES,PRETTY HAPPY,PRETTY HAPPY,0
96,52,Male,12,40000,Stop working,Mod satisfied,Routine,One of most important,50,High school,Agree,Not very satisfied,MARRIED,20,CANCER,YES,PRETTY HAPPY,VERY HAPPY,4
97,39,Female,16,25000,Continue working,Mod satisfied,Routine,Very important,40,Bachelor,Disagree,Not very satisfied,MARRIED,26,GEMINI,YES,PRETTY HAPPY,VERY HAPPY,2
98,45,Male,12,60000,Stop working,Mod satisfied,Routine,Very important,50,High school,Agree,Not very satisfied,MARRIED,25,CANCER,NO,PRETTY HAPPY,VERY HAPPY,4
